playername,points
Kevan Smith,6.22
Chad Pinder,6.1
Ryan LaMarre,6.09
Matt Wieters,5.97
A.J. Ellis,5.95
Ronald Guzman,5.95
Brett Phillips,5.97
Willy Adames,6
Stephen Piscotty,5.97
Ramon Laureano,5.95
Tucker Barnhart,5.92
DJ LeMahieu,6
Sandy Leon,5.85
Kolten Wong,5.81
Austin Romine,5.81
Kevin Kiermaier,5.72
Victor Reyes,5.64
Alcides Escobar,5.6
Jorge Alfaro,5.54
Magneuris Sierra,5.66
Ryan McMahon,5.55
Mason Williams,5.56
Gerardo Parra,5.56
Jonathan Lucroy,5.35
Martin Maldonado,5.22
Steven Duggar,5.22
Billy Hamilton,5.15
Jesus Sucre,5.05
Yadiel Rivera,5
Pat Valaika,4.57
Tony Wolters,4.03
