P,P,C,1B,2B,3B,SS,OF,OF,OF
11084886,11085154,11084672,11084811,11084693,11085169,11085303,11084903,11085139,11084700
11084886,11084878,11085147,11084811,11085301,11084795,11085164,11084903,11084781,11085138
