Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Jason Croom (10982253),Jason Croom,10982253,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BUF,0
TE,Khari Lee (10982255),Khari Lee,10982255,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BUF,0
TE,Logan Thomas (10982257),Logan Thomas,10982257,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BUF,1.63
TE,Keith Towbridge (10982259),Keith Towbridge,10982259,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BUF,0
TE,Darren Waller (10982261),Darren Waller,10982261,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BAL,0
TE,Maxx Williams (10982263),Maxx Williams,10982263,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BAL,2.66
TE,Nick Boyle (10982265),Nick Boyle,10982265,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BAL,3.35
TE,Nick Keizer (10982267),Nick Keizer,10982267,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BAL,0
TE,Vince Mayle (10982269),Vince Mayle,10982269,TE/FLEX,2500,BUF@BAL 09/09/2018 01:00PM ET,BAL,0.39
TE,Ryan O'Malley (10982271),Ryan O'Malley,10982271,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,NYG,0
TE,Rhett Ellison (10982273),Rhett Ellison,10982273,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,NYG,3.72
TE,Jerell Adams (10982277),Jerell Adams,10982277,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,NYG,1.08
TE,Scott Simonson (10982279),Scott Simonson,10982279,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,NYG,0
TE,Garrett Dickerson (10982281),Garrett Dickerson,10982281,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,NYG,0
TE,Ben Koyack (10982283),Ben Koyack,10982283,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,JAX,1.10
TE,David Grinnage (10982285),David Grinnage,10982285,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,JAX,0
TE,Niles Paul (10982287),Niles Paul,10982287,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,JAX,1.63
TE,Scott Orndoff (10982289),Scott Orndoff,10982289,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,JAX,0
TE,James O'Shaughnessy (10982291),James O'Shaughnessy,10982291,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,JAX,2.06
TE,DeAndre Goolsby (11182495),DeAndre Goolsby,11182495,TE/FLEX,2500,JAX@NYG 09/09/2018 01:00PM ET,JAX,0
TE,Deon Yelder (10982293),Deon Yelder,10982293,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,NO,0
TE,Garrett Griffin (10982295),Garrett Griffin,10982295,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,NO,0.47
TE,Michael Hoomanawanui (10982297),Michael Hoomanawanui,10982297,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,NO,1.08
TE,Donnie Ernsberger (10982299),Donnie Ernsberger,10982299,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,TB,0
TE,Antony Auclair (10982301),Antony Auclair,10982301,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,TB,0.56
TE,Alan Cross (10982303),Alan Cross,10982303,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,TB,1.35
TE,Tanner Hudson (10982307),Tanner Hudson,10982307,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,TB,0
TE,John Phillips (11182477),John Phillips,11182477,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,NO,0
TE,Matt Weiser (11182485),Matt Weiser,11182485,TE/FLEX,2500,TB@NO 09/09/2018 01:00PM ET,TB,0
TE,Jordan Thomas (10982309),Jordan Thomas,10982309,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,HOU,0
TE,Jordan Akins (10982311),Jordan Akins,10982311,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,HOU,0
TE,MyCole Pruitt (10982313),MyCole Pruitt,10982313,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,HOU,0
TE,Jevoni Robinson (10982315),Jevoni Robinson,10982315,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,HOU,0
TE,Matt Lengel (10982317),Matt Lengel,10982317,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,HOU,0
TE,Ryan Izzo (10982319),Ryan Izzo,10982319,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,NE,0
TE,Troy Niklas (10982321),Troy Niklas,10982321,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,NE,2.01
TE,Will Tye (10982323),Will Tye,10982323,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,NE,2.6
TE,Shane Wimann (10982325),Shane Wimann,10982325,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,NE,0
TE,Jacob Hollister (10982327),Jacob Hollister,10982327,TE/FLEX,2500,HOU@NE 09/09/2018 01:00PM ET,NE,0.61
TE,Josiah Price (10982329),Josiah Price,10982329,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,MIN,0
TE,Tyler Conklin (10982331),Tyler Conklin,10982331,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,MIN,0
TE,David Morgan (10982333),David Morgan,10982333,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,MIN,1.5
TE,Blake Bell (10982335),Blake Bell,10982335,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,MIN,0.53
TE,Kevin McDermott (10982337),Kevin McDermott,10982337,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,MIN,0
TE,Tyler Hoppes (10982339),Tyler Hoppes,10982339,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,MIN,0
TE,Cole Wick (10982341),Cole Wick,10982341,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,SF,0
TE,Kyle Nelson (10982343),Kyle Nelson,10982343,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,SF,0
TE,Ross Dwelley (10982345),Ross Dwelley,10982345,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,SF,0
TE,Cole Hikutini (10982347),Cole Hikutini,10982347,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,SF,0.88
TE,Wes Saxton (11182487),Wes Saxton,11182487,TE/FLEX,2500,SF@MIN 09/09/2018 01:00PM ET,SF,0
TE,Luke Stocker (10982349),Luke Stocker,10982349,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,TEN,0.93
TE,Ethan Wolf (10982351),Ethan Wolf,10982351,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,TEN,0
TE,Anthony Firkser (10982353),Anthony Firkser,10982353,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,TEN,0
TE,Tim Semisch (10982355),Tim Semisch,10982355,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,TEN,0
TE,Phillip Supernaw (10982357),Phillip Supernaw,10982357,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,TEN,0.77
TE,Beau Brinkley (10982359),Beau Brinkley,10982359,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,TEN,0
TE,MarQueis Gray (10982361),MarQueis Gray,10982361,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,MIA,0.21
TE,Gavin Escobar (10982363),Gavin Escobar,10982363,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,MIA,0
TE,Durham Smythe (10982365),Durham Smythe,10982365,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,MIA,0
TE,Thomas Duarte (10982367),Thomas Duarte,10982367,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,MIA,0
TE,A.J. Derby (10982369),A.J. Derby,10982369,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,MIA,5.13
TE,Jerome Cunningham (11182481),Jerome Cunningham,11182481,TE/FLEX,2500,TEN@MIA 09/09/2018 01:00PM ET,TEN,0
TE,Moritz Boehringer (10982371),Moritz Boehringer,10982371,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,CIN,0
TE,Cethan Carter (10982373),Cethan Carter,10982373,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,CIN,0
TE,Jordan Franks (10982375),Jordan Franks,10982375,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,CIN,0
TE,C.J. Uzomah (10982377),C.J. Uzomah,10982377,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,CIN,1.8
