Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Larry Fitzgerald (10981615),Larry Fitzgerald,10981615,WR/FLEX,6600,WAS@ARI 09/09/2018 04:25PM ET,ARI,17.15
QB,Kirk Cousins (10981169),Kirk Cousins,10981169,QB,6500,SF@MIN 09/09/2018 01:00PM ET,MIN,19.41
WR,Tyreek Hill (10981617),Tyreek Hill,10981617,WR/FLEX,6500,KC@LAC 09/09/2018 04:05PM ET,KC,17.21
QB,Philip Rivers (10981170),Philip Rivers,10981170,QB,6400,KC@LAC 09/09/2018 04:05PM ET,LAC,18.71
TE,Travis Kelce (10982171),Travis Kelce,10982171,TE/FLEX,6400,KC@LAC 09/09/2018 04:05PM ET,KC,16.44
RB,Christian McCaffrey (10981269),Christian McCaffrey,10981269,RB/FLEX,6400,DAL@CAR 09/09/2018 04:25PM ET,CAR,15.25
WR,Stefon Diggs (10981619),Stefon Diggs,10981619,WR/FLEX,6300,SF@MIN 09/09/2018 01:00PM ET,MIN,15.31
QB,Marcus Mariota (10981171),Marcus Mariota,10981171,QB,6300,TEN@MIA 09/09/2018 01:00PM ET,TEN,16.57
RB,Dalvin Cook (10981271),Dalvin Cook,10981271,RB/FLEX,6200,SF@MIN 09/09/2018 01:00PM ET,MIN,17.35
QB,Russell Wilson (10981172),Russell Wilson,10981172,QB,6200,SEA@DEN 09/09/2018 04:25PM ET,SEA,23.18
WR,Doug Baldwin (10981621),Doug Baldwin,10981621,WR/FLEX,6200,SEA@DEN 09/09/2018 04:25PM ET,SEA,14.33
